Game,Winner,0,1,2,3,4,5,6,7,8
26,O,X,O,O,X,O,X,,,X
26,O,X,O,O,X,O,X,O,,X
27,O,,,,,,,,,X
27,O,,,,,O,,,,X
27,O,X,,,,O,,,,X
27,O,X,,,,O,,,O,X
27,O,X,,,,O,X,,O,X
27,O,X,O,,,O,X,,O,X
28,O,,,,X,,,,,
28,O,,,,X,O,,,,
28,O,,,,X,O,,,,X
28,O,,O,,X,O,,,,X
28,O,X,O,,X,O,,,,X
28,O,X,O,,X,O,,,O,X
29,X,,,,,,,X,,
29,X,,,,,O,,X,,
29,X,,,,,O,,X,,X
29,X,,,,O,O,,X,,X
29,X,,,,O,O,X,X,,X
29,X,,,O,O,O,X,X,,X
29,X,X,,O,O,O,X,X,,X
29,X,X,O,O,O,O,X,X,,X
29,X,X,O,O,O,O,X,X,X,X
30,X,,,,,,,,,X
30,X,O,,,,,,,,X
30,X,O,,,,,,X,,X
30,X,O,,,,O,,X,,X
30,X,O,,X,,O,,X,,X
30,X,O,,X,O,O,,X,,X
30,X,O,,X,O,O,X,X,,X
31,,,,,,,,,,X
31,,,,,,O,,,,X
31,,X,,,,O,,,,X
31,,X,,,,O,,,O,X
31,,X,X,,,O,,,O,X
31,,X,X,,O,O,,,O,X
31,,X,X,,O,O,X,,O,X
31,,X,X,O,O,O,X,,O,X
31,,X,X,O,O,O,X,X,O,X
32,O,,,,,,,,,X
32,O,,,,,O,,,,X
32,O,X,,,,O,,,,X
32,O,X,O,,,O,,,,X
32,O,X,O,,,O,X,,,X
32,O,X,O,O,,O,X,,,X
32,O,X,O,O,,O,X,X,,X
32,O,X,O,O,,O,X,X,O,X
33,O,,,,,,,,,X
33,O,,,,,O,,,,X
33,O,X,,,,O,,,,X
33,O,X,,,,O,,,O,X
33,O,X,,,,O,X,,O,X
33,O,X,O,,,O,X,,O,X
34,X,,,,,,,,,X
34,X,,,,,O,,,,X
34,X,X,,,,O,,,,X
34,X,X,,O,,O,,,,X
34,X,X,,O,,O,X,,,X
34,X,X,O,O,,O,X,,,X
34,X,X,O,O,,O,X,X,,X
34,X,X,O,O,O,O,X,X,,X
34,X,X,O,O,O,O,X,X,X,X
35,O,,,,,,,,X,
35,O,O,,,,,,,X,
35,O,O,X,,,,,,X,
35,O,O,X,,,O,,,X,
35,O,O,X,X,,O,,,X,
35,O,O,X,X,,O,O,,X,
35,O,O,X,X,,O,O,,X,X
35,O,O,X,X,O,O,O,,X,X
36,X,,X,,,,,,,
36,X,O,X,,,,,,,
36,X,O,X,,X,,,,,
36,X,O,X,,X,O,,,,
36,X,O,X,,X,O,,,,X
36,X,O,X,,X,O,,O,,X
36,X,O,X,X,X,O,,O,,X
36,X,O,X,X,X,O,,O,O,X
36,X,O,X,X,X,O,X,O,O,X
37,X,,,,,,,,,X
37,X,,,,O,,,,,X
37,X,X,,,O,,,,,X
37,X,X,,,O,O,,,,X
37,X,X,,,O,O,X,,,X
37,X,X,,O,O,O,X,,,X
37,X,X,,O,O,O,X,,X,X
37,X,X,O,O,O,O,X,,X,X
37,X,X,O,O,O,O,X,X,X,X
38,O,,,,,,,,,X
38,O,,,,O,,,,,X
38,O,,,,O,,,,X,X
38,O,,,,O,O,,,X,X
38,O,X,,,O,O,,,X,X
38,O,X,,O,O,O,,,X,X
38,O,X,X,O,O,O,,,X,X
38,O,X,X,O,O,O,O,,X,X
39,O,,,,,,,,,X
39,O,,,,,O,,,,X
39,O,,,X,,O,,,,X
39,O,,,X,O,O,,,,X
39,O,,,X,O,O,,,X,X
39,O,,,X,O,O,O,,X,X
40,O,,,,,,,,,X
40,O,,,,,O,,,,X
40,O,X,,,,O,,,,X
40,O,X,,,,O,,O,,X
40,O,X,,,,O,X,O,,X
40,O,X,,O,,O,X,O,,X
41,O,,,,,,,,,X
41,O,,,,,O,,,,X
41,O,X,,,,O,,,,X
41,O,X,,,,O,,,O,X
41,O,X,,,,O,,X,O,X
41,O,X,O,,,O,,X,O,X
42,O,,,,,,,,,X
42,O,,,,,O,,,,X
42,O,X,,,,O,,,,X
42,O,X,,,,O,,,O,X
42,O,X,,,,O,X,,O,X
42,O,X,O,,,O,X,,O,X
43,O,,,,,,,,,X
43,O,,,,,O,,,,X
43,O,X,,,,O,,,,X
43,O,X,,,,O,,,O,X
43,O,X,,,X,O,,,O,X
43,O,X,O,,X,O,,,O,X
44,O,,,,,,,,,X
44,O,,,,,O,,,,X
44,O,X,,,,O,,,,X
44,O,X,,,,O,,,O,X
44,O,X,,,,O,X,,O,X
44,O,X,O,,,O,X,,O,X
45,X,,,,,,,,,X
45,X,,,,,O,,,,X
45,X,,X,,,O,,,,X
45,X,,X,,O,O,,,,X
45,X,,X,,O,O,X,,,X
45,X,O,X,,O,O,X,,,X
45,X,O,X,,O,O,X,X,,X
45,X,O,X,,O,O,X,X,O,X
45,X,O,X,X,O,O,X,X,O,X
46,X,,,,,,,,,X
46,X,,,,,O,,,,X
46,X,X,,,,O,,,,X
46,X,X,,,,O,,,O,X
46,X,X,,,,O,X,,O,X
46,X,X,,,O,O,X,,O,X
46,X,X,,X,O,O,X,,O,X
47,X,,,,,,,,,X
47,X,,,,,O,,,,X
47,X,,,X,,O,,,,X
47,X,,,X,O,O,,,,X
47,X,X,,X,O,O,,,,X
47,X,X,,X,O,O,,,O,X
47,X,X,,X,O,O,X,,O,X
48,X,X,,,,,,,,
48,X,X,,,,,O,,,
48,X,X,,X,,,O,,,
48,X,X,,X,O,,O,,,
48,X,X,X,X,O,,O,,,
49,O,,,,,,,,,X
49,O,,,,,O,,,,X
49,O,,X,,,O,,,,X
49,O,,X,,O,O,,,,X
49,O,X,X,,O,O,,,,X
49,O,X,X,,O,O,O,,,X
50,O,,,,,,,,,X
50,O,,,,,O,,,,X
50,O,X,,,,O,,,,X
50,O,X,,,,O,,,O,X
50,O,X,,,,O,X,,O,X
50,O,X,O,,,O,X,,O,X
51,O,,,,,,,,,X
51,O,,,,,O,,,,X
51,O,X,,,,O,,,,X
51,O,X,,,,O,,O,,X
51,O,X,,,,O,X,O,,X
51,O,X,,O,,O,X,O,,X
52,O,,,,,,,,,X
52,O,,,,,O,,,,X
52,O,X,,,,O,,,,X
52,O,X,,,,O,,O,,X
52,O,X,,,,O,X,O,,X
52,O,X,,O,,O,X,O,,X
53,X,,,X,,,,,,
53,X,,,X,,,,,,O
53,X,,,X,,,,,X,O
53,X,,,X,,,O,,X,O
53,X,,X,X,,,O,,X,O
53,X,,X,X,,O,O,,X,O
53,X,,X,X,X,O,O,,X,O
53,X,,X,X,X,O,O,O,X,O
53,X,X,X,X,X,O,O,O,X,O
54,O,,,,,,,,,X
54,O,,,,,,O,,,X
54,O,,,X,,,O,,,X
54,O,,,X,,O,O,,,X
54,O,X,,X,,O,O,,,X
54,O,X,,X,O,O,O,,,X
55,O,,,,,,,,,X
55,O,,,,,O,,,,X
55,O,X,,,,O,,,,X
55,O,X,O,,,O,,,,X
55,O,X,O,X,,O,,,,X
55,O,X,O,X,,O,,,O,X
56,O,,,,,,,,,X
56,O,,,,,O,,,,X
56,O,X,,,,O,,,,X
56,O,X,,,,O,,O,,X
56,O,X,,,,O,X,O,,X
56,O,X,,O,,O,X,O,,X
57,O,,,,,,,,,X
57,O,,,,,O,,,,X
57,O,X,,,,O,,,,X
57,O,X,,,,O,,,O,X
57,O,X,,,X,O,,,O,X
57,O,X,O,,X,O,,,O,X
58,O,X,,,,,,,,
58,O,X,O,,,,,,,
58,O,X,O,,,,,,,X
58,O,X,O,,,O,,,,X
58,O,X,O,,,O,X,,,X
58,O,X,O,,,O,X,,O,X
59,X,,,,,,,,,X
59,X,,,,,O,,,,X
59,X,X,,,,O,,,,X
59,X,X,,,O,O,,,,X
59,X,X,,,O,O,X,,,X
59,X,X,,O,O,O,X,,,X
59,X,X,,O,O,O,X,X,,X
59,X,X,O,O,O,O,X,X,,X
59,X,X,O,O,O,O,X,X,X,X
60,O,,,,,,,,,X
60,O,,O,,,,,,,X
60,O,X,O,,,,,,,X
60,O,X,O,,,O,,,,X
60,O,X,O,,,O,X,,,X
60,O,X,O,,,O,X,,O,X
61,X,,,,,,,,,X
61,X,,,,O,,,,,X
61,X,X,,,O,,,,,X
61,X,X,O,,O,,,,,X
61,X,X,O,X,O,,,,,X
61,X,X,O,X,O,O,,,,X
61,X,X,O,X,O,O,X,,,X
62,O,,,,,,,,,X
62,O,,,,,O,,,,X
62,O,X,,,,O,,,,X
62,O,X,,,O,O,,,,X
62,O,X,X,,O,O,,,,X
62,O,X,X,,O,O,O,,,X
63,O,,,,,,,,,X
63,O,,,,,O,,,,X
63,O,X,,,,O,,,,X
63,O,X,,,,O,,,O,X
63,O,X,,,,O,X,,O,X
63,O,X,O,,,O,X,,O,X
64,O,,,,,,X,,,
64,O,O,,,,,X,,,
64,O,O,,X,,,X,,,
64,O,O,,X,,,X,,,O
64,O,O,,X,,,X,X,,O
64,O,O,,X,,O,X,X,,O
65,O,,,,,,,,,X
65,O,,,,,,,,O,X
65,O,X,,,,,,,O,X
65,O,X,,O,,,,,O,X
65,O,X,,O,,,X,,O,X
65,O,X,,O,,O,X,,O,X
65,O,X,,O,X,O,X,,O,X
65,O,X,O,O,X,O,X,,O,X
66,O,,,,,,,,,X
66,O,,,,,O,,,,X
66,O,,X,,,O,,,,X
66,O,,X,,O,O,,,,X
66,O,,X,,O,O,X,,,X
66,O,,X,O,O,O,X,,,X
66,O,X,X,O,O,O,X,,,X
66,O,X,X,O,O,O,X,O,,X
67,X,,,,,,,X,,
67,X,,,,,O,,X,,
67,X,,,,,O,,X,,X
67,X,,,,O,O,,X,,X
67,X,X,,,O,O,,X,,X
67,X,X,,O,O,O,,X,,X
67,X,X,,O,O,O,X,X,,X
67,X,X,O,O,O,O,X,X,,X
67,X,X,O,O,O,O,X,X,X,X
68,O,,,,,,,,,X
68,O,,,,,O,,,,X
68,O,X,,,,O,,,,X
68,O,X,,,,O,,,O,X
68,O,X,,,,O,X,,O,X
68,O,X,O,,,O,X,,O,X
69,O,,,,,,,,,X
69,O,,,,,O,,,,X
69,O,X,,,,O,,,,X
69,O,X,,,,O,,,O,X
69,O,X,,,,O,X,,O,X
69,O,X,O,,,O,X,,O,X
70,O,,,X,,,,,,
70,O,,,X,,O,,,,
70,O,,,X,,O,,,,X
70,O,,,X,O,O,,,,X
70,O,,,X,O,O,,,X,X
70,O,,,X,O,O,O,,X,X
71,O,,,,,,,,X,
71,O,O,,,,,,,X,
71,O,O,,,X,,,,X,
71,O,O,,,X,O,,,X,
71,O,O,,X,X,O,,,X,
71,O,O,,X,X,O,,,X,O
72,O,,X,,,,,,,
72,O,,X,,,O,,,,
72,O,,X,,,O,,,,X
72,O,,X,,O,O,,,,X
72,O,,X,,O,O,X,,,X
72,O,,X,O,O,O,X,,,X
