Game,Winner,0,1,2,3,4,5,6,7,8
25,X,,,,,X,,,,
25,X,,,O,,X,,,,
25,X,,,O,,X,X,,,
25,X,,,O,,X,X,,O,
25,X,X,,O,,X,X,,O,
25,X,X,O,O,,X,X,,O,
25,X,X,O,O,,X,X,X,O,
25,X,X,O,O,,X,X,X,O,O
25,X,X,O,O,X,X,X,X,O,O
26,,,,,,X,,,,
26,,O,,,,X,,,,
26,,O,,,X,X,,,,
26,,O,,,X,X,,O,,
26,,O,,X,X,X,,O,,
26,,O,,X,X,X,O,O,,
26,,O,,X,X,X,O,O,X,
26,,O,O,X,X,X,O,O,X,
26,,O,O,X,X,X,O,O,X,X
27,X,,,,,X,,,,
27,X,,O,,,X,,,,
27,X,,O,,,X,,,,X
27,X,,O,,,X,,O,,X
27,X,,O,X,,X,,O,,X
27,X,,O,X,,X,,O,O,X
27,X,X,O,X,,X,,O,O,X
28,,,,,,X,,,,
28,,,,,,X,O,,,
28,,,,X,,X,O,,,
28,,O,,X,,X,O,,,
28,,O,,X,X,X,O,,,
28,,O,O,X,X,X,O,,,
28,,O,O,X,X,X,O,,,X
28,,O,O,X,X,X,O,O,,X
28,,O,O,X,X,X,O,O,X,X
29,X,,,,,X,,,,
29,X,,,O,,X,,,,
29,X,,,O,,X,X,,,
29,X,,O,O,,X,X,,,
29,X,,O,O,,X,X,,,X
29,X,,O,O,,X,X,O,,X
29,X,X,O,O,,X,X,O,,X
30,X,,,,,X,,,,
30,X,,O,,,X,,,,
30,X,,O,,,X,,,,X
30,X,,O,,,X,,,O,X
30,X,,O,X,,X,,,O,X
30,X,,O,X,O,X,,,O,X
30,X,X,O,X,O,X,,,O,X
31,X,,,,,X,,,,
31,X,O,,,,X,,,,
31,X,O,,,X,X,,,,
31,X,O,O,,X,X,,,,
31,X,O,O,,X,X,,,,X
31,X,O,O,,X,X,,O,,X
31,X,O,O,X,X,X,,O,,X
31,X,O,O,X,X,X,,O,O,X
31,X,O,O,X,X,X,X,O,O,X
32,X,,,,,X,,,,
32,X,,,O,,X,,,,
32,X,,,O,,X,X,,,
32,X,,,O,,X,X,,O,
32,X,X,,O,,X,X,,O,
32,X,X,,O,,X,X,O,O,
32,X,X,,O,,X,X,O,O,X
33,O,,,,,X,,,,
33,O,,,,,X,,,,O
33,O,,X,,,X,,,,O
33,O,,X,O,,X,,,,O
33,O,,X,O,,X,,X,,O
33,O,O,X,O,,X,,X,,O
33,O,O,X,O,X,X,,X,,O
33,O,O,X,O,X,X,O,X,,O
34,X,,,,,X,,,,
34,X,,,,,X,O,,,
34,X,,,X,,X,O,,,
34,X,,,X,,X,O,O,,
34,X,X,,X,,X,O,O,,
34,X,X,O,X,,X,O,O,,
34,X,X,O,X,,X,O,O,,X
35,X,,,,,X,,,,
35,X,,,,O,X,,,,
35,X,,,X,O,X,,,,
35,X,,,X,O,X,,,O,
35,X,X,,X,O,X,,,O,
35,X,X,O,X,O,X,,,O,
35,X,X,O,X,O,X,X,,O,
35,X,X,O,X,O,X,X,,O,O
35,X,X,O,X,O,X,X,X,O,O
36,,,,,,X,,,,
36,,,O,,,X,,,,
36,,,O,,,X,,,,X
36,,O,O,,,X,,,,X
36,,O,O,,,X,,,X,X
36,,O,O,,,X,O,,X,X
36,,O,O,,X,X,O,,X,X
36,,O,O,,X,X,O,O,X,X
36,,O,O,X,X,X,O,O,X,X
37,,,,,,X,,,,
37,,,,O,,X,,,,
37,,,,O,,X,X,,,
37,,,,O,O,X,X,,,
37,,X,,O,O,X,X,,,
37,,X,,O,O,X,X,,,O
37,,X,X,O,O,X,X,,,O
37,,X,X,O,O,X,X,,O,O
37,,X,X,O,O,X,X,X,O,O
38,X,,,,,X,,,,
38,X,,,,,X,,O,,
38,X,,,X,,X,,O,,
38,X,,O,X,,X,,O,,
38,X,,O,X,,X,,O,,X
38,X,O,O,X,,X,,O,,X
38,X,O,O,X,X,X,,O,,X
38,X,O,O,X,X,X,,O,O,X
38,X,O,O,X,X,X,X,O,O,X
39,X,,,,,X,,,,
39,X,,,,,X,,,O,
39,X,X,,,,X,,,O,
39,X,X,,,,X,,O,O,
39,X,X,,X,,X,,O,O,
39,X,X,,X,,X,O,O,O,
39,X,X,,X,,X,O,O,O,X
40,X,,,,,X,,,,
40,X,,O,,,X,,,,
40,X,,O,,,X,,,,X
40,X,,O,,O,X,,,,X
40,X,,O,X,O,X,,,,X
40,X,O,O,X,O,X,,,,X
40,X,O,O,X,O,X,,,X,X
40,X,O,O,X,O,X,O,,X,X
40,X,O,O,X,O,X,O,X,X,X
41,O,,,,,X,,,,
41,O,,,,,X,,,,O
41,O,,X,,,X,,,,O
41,O,,X,,,X,,O,,O
41,O,,X,X,,X,,O,,O
41,O,,X,X,,X,,O,O,O
42,X,,,,,X,,,,
42,X,,O,,,X,,,,
42,X,,O,,,X,,,,X
42,X,,O,,,X,,O,,X
42,X,,O,X,,X,,O,,X
42,X,,O,X,,X,,O,O,X
42,X,X,O,X,,X,,O,O,X
43,O,,,,,X,,,,
43,O,,,O,,X,,,,
43,O,,,O,,X,X,,,
43,O,,O,O,,X,X,,,
43,O,,O,O,,X,X,,,X
43,O,O,O,O,,X,X,,,X
44,,,,,,X,,,,
44,,,,,,X,O,,,
44,,,,X,,X,O,,,
44,,O,,X,,X,O,,,
44,,O,,X,X,X,O,,,
44,,O,O,X,X,X,O,,,
44,,O,O,X,X,X,O,,,X
44,,O,O,X,X,X,O,O,,X
44,,O,O,X,X,X,O,O,X,X
45,X,,,,,X,,,,
45,X,,,,,X,,O,,
45,X,,,X,,X,,O,,
45,X,,O,X,,X,,O,,
45,X,,O,X,,X,,O,,X
45,X,,O,X,,X,,O,O,X
45,X,X,O,X,,X,,O,O,X
46,X,,,,,X,,,,
46,X,O,,,,X,,,,
46,X,O,,,X,X,,,,
46,X,O,,,X,X,,,O,
46,X,O,,X,X,X,,,O,
46,X,O,,X,X,X,,O,O,
46,X,O,,X,X,X,X,O,O,
47,X,,,,,X,,,,
47,X,,,O,,X,,,,
47,X,,,O,,X,X,,,
47,X,,,O,O,X,X,,,
47,X,X,,O,O,X,X,,,
47,X,X,,O,O,X,X,,O,
47,X,X,X,O,O,X,X,,O,
47,X,X,X,O,O,X,X,O,O,
47,X,X,X,O,O,X,X,O,O,X
48,X,,,,,X,,,,
48,X,,,,,X,,,O,
48,X,X,,,,X,,,O,
48,X,X,,,,X,O,,O,
48,X,X,,,,X,O,X,O,
48,X,X,O,,,X,O,X,O,
48,X,X,O,,,X,O,X,O,X
49,X,,,,,X,,,,
49,X,,,,,X,O,,,
49,X,,,X,,X,O,,,
49,X,,O,X,,X,O,,,
49,X,,O,X,,X,O,,,X
49,X,,O,X,,X,O,,O,X
49,X,X,O,X,,X,O,,O,X
50,X,,,,,X,,,,
50,X,,,,,X,,,,O
50,X,,X,,,X,,,,O
50,X,,X,,,X,O,,,O
50,X,,X,X,,X,O,,,O
50,X,,X,X,,X,O,O,,O
50,X,,X,X,X,X,O,O,,O
50,X,O,X,X,X,X,O,O,,O
50,X,O,X,X,X,X,O,O,X,O
51,X,,,,,X,,,,
51,X,O,,,,X,,,,
51,X,O,,,X,X,,,,
51,X,O,,,X,X,,,O,
51,X,O,,X,X,X,,,O,
51,X,O,,X,X,X,O,,O,
51,X,O,,X,X,X,O,X,O,
52,X,,,,,X,,,,
52,X,,,,,X,,O,,
52,X,,,X,,X,,O,,
52,X,,,X,,X,,O,,O
