,Training Loss,Validation Loss
44,"tensor(0.4865, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4848, grad_fn=<BinaryCrossEntropyBackward0>)"
45,"tensor(0.4848, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4847, grad_fn=<BinaryCrossEntropyBackward0>)"
46,"tensor(0.4856, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4847, grad_fn=<BinaryCrossEntropyBackward0>)"
47,"tensor(0.4868, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4847, grad_fn=<BinaryCrossEntropyBackward0>)"
48,"tensor(0.4851, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4847, grad_fn=<BinaryCrossEntropyBackward0>)"
49,"tensor(0.4827, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4846, grad_fn=<BinaryCrossEntropyBackward0>)"
50,"tensor(0.4831, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4848, grad_fn=<BinaryCrossEntropyBackward0>)"
51,"tensor(0.4848, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4847, grad_fn=<BinaryCrossEntropyBackward0>)"
52,"tensor(0.4859, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4846, grad_fn=<BinaryCrossEntropyBackward0>)"
53,"tensor(0.4850, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4846, grad_fn=<BinaryCrossEntropyBackward0>)"
54,"tensor(0.4874, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4846, grad_fn=<BinaryCrossEntropyBackward0>)"
55,"tensor(0.4883, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4846, grad_fn=<BinaryCrossEntropyBackward0>)"
56,"tensor(0.4883, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4846, grad_fn=<BinaryCrossEntropyBackward0>)"
57,"tensor(0.4874, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4846, grad_fn=<BinaryCrossEntropyBackward0>)"
58,"tensor(0.4876, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4846, grad_fn=<BinaryCrossEntropyBackward0>)"
59,"tensor(0.4871, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4846, grad_fn=<BinaryCrossEntropyBackward0>)"
60,"tensor(0.4864, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4846, grad_fn=<BinaryCrossEntropyBackward0>)"
61,"tensor(0.4873, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4847, grad_fn=<BinaryCrossEntropyBackward0>)"
62,"tensor(0.4873, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, grad_fn=<BinaryCrossEntropyBackward0>)"
63,"tensor(0.4868, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, grad_fn=<BinaryCrossEntropyBackward0>)"
64,"tensor(0.4852, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4843, grad_fn=<BinaryCrossEntropyBackward0>)"
65,"tensor(0.4880, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, grad_fn=<BinaryCrossEntropyBackward0>)"
66,"tensor(0.4862, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4845, grad_fn=<BinaryCrossEntropyBackward0>)"
67,"tensor(0.4823, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4843, grad_fn=<BinaryCrossEntropyBackward0>)"
68,"tensor(0.4820, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, grad_fn=<BinaryCrossEntropyBackward0>)"
69,"tensor(0.4814, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4843, grad_fn=<BinaryCrossEntropyBackward0>)"
70,"tensor(0.4815, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, grad_fn=<BinaryCrossEntropyBackward0>)"
71,"tensor(0.4813, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4844, grad_fn=<BinaryCrossEntropyBackward0>)"
72,"tensor(0.4799, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
73,"tensor(0.4801, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4843, grad_fn=<BinaryCrossEntropyBackward0>)"
74,"tensor(0.4803, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4843, grad_fn=<BinaryCrossEntropyBackward0>)"
75,"tensor(0.4805, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
76,"tensor(0.4801, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4843, grad_fn=<BinaryCrossEntropyBackward0>)"
77,"tensor(0.4806, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4843, grad_fn=<BinaryCrossEntropyBackward0>)"
78,"tensor(0.4807, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
79,"tensor(0.4800, grad_fn=<BinaryCrossEntropyBackward0>)","tensor(0.4842, grad_fn=<BinaryCrossEntropyBackward0>)"
